player,tm,ws
Arron Afflalo,ORL,7.3999999999999995
Arron Afflalo,POR,0.8
Arron Afflalo,SAC,1.4
Art Collins,ATL,-0.4
Art Heyman,NYK,4.0
Art Heyman,PHI,0.0
Art Long,PHI,-0.1
Art Long,SAC,-0.1
Art Long,TOR,-0.3
Art Spector,BOS,-0.2
Art Spoelstra,NYK,0.1
Art Williams,BOS,11.100000000000001
Artis Gilmore,BOS,0.8
Artis Gilmore,CHI,66.5
Artis Gilmore,SAS,40.2
Arvid Kramer,DEN,-0.1
Arvydas Sabonis,POR,47.1
Ashton Hagans,MIN,0.0
Askia Jones,MIN,-0.1
Audie Norris,POR,2.9
Austin Carr,CLE,33.5
Austin Carr,DAL,-0.4
Austin Croshere,DAL,1.3
Austin Croshere,GSW,1.1
Austin Croshere,IND,25.099999999999998
Austin Croshere,MIL,0.2
Austin Croshere,SAS,-0.1
Austin Daye,ATL,0.1
Austin Daye,DET,3.6000000000000005
Austin Daye,MEM,0.9
Austin Daye,SAS,0.1
Austin Daye,TOR,0.0
Austin Reaves,LAL,8.3
Austin Rivers,DEN,1.9
Austin Rivers,HOU,3.8
Austin Rivers,LAC,7.6000000000000005
Austin Rivers,MIN,1.3
Austin Rivers,NOP,1.2999999999999998
Austin Rivers,NYK,0.6
Austin Rivers,WAS,-0.2
Avery Bradley,BOS,14.500000000000002
Avery Bradley,DET,-0.2
Avery Bradley,HOU,-0.4
Avery Bradley,LAC,-0.3
Avery Bradley,LAL,2.7
Avery Bradley,MEM,0.7
Avery Bradley,MIA,0.3
Avery Johnson,DAL,0.5
Avery Johnson,DEN,2.9
Avery Johnson,GSW,4.3
Avery Johnson,HOU,0.7
Avery Johnson,SAS,47.400000000000006
Awvee Storey,MIL,0.2
Awvee Storey,WAS,0.1
Axel Toupane,DEN,0.3
Axel Toupane,MIL,0.1
Axel Toupane,NOP,0.1
Ayo Dosunmu,CHI,5.9
B.J. Armstrong,CHI,33.900000000000006
B.J. Armstrong,GSW,8.2
B.J. Armstrong,ORL,0.3
B.J. Johnson,ATL,0.1
B.J. Johnson,ORL,0.0
B.J. Johnson,SAC,0.0
B.J. Tyler,PHI,-0.7
Bailey Howell,BOS,36.3
Bailey Howell,DET,53.800000000000004
Bailey Howell,PHI,5.0
Bam Adebayo,MIA,42.900000000000006
Barney Cable,DET,0.0
Baron Davis,CLE,0.7
Baron Davis,GSW,22.1
Baron Davis,LAC,7.199999999999999
Baron Davis,NYK,0.2
Barry Clemens,CHI,3.8
Barry Clemens,CLE,5.1
Barry Clemens,NYK,0.1
Barry Clemens,POR,2.7
Barry Kramer,NYK,-0.1
Barry Nelson,MIL,0.1
Barry Stevens,GSW,0.0
Barry Sumpter,LAC,0.0
Barry Yates,PHI,-0.2
Bart Kofoed,BOS,0.0
Bart Kofoed,GSW,-0.1
Bart Kofoed,UTA,-0.1
Ben Bentil,DAL,-0.1
Ben Clyde,BOS,0.2
Ben Coleman,DET,0.0
Ben Coleman,MIL,0.5
Ben Coleman,PHI,2.0
Ben Davis,NYK,0.1
Ben Gillery,SAC,0.0
Ben Gordon,CHA,-0.8999999999999999
Ben Gordon,CHI,28.5
Ben Gordon,DET,5.5
Ben Gordon,ORL,0.3
Ben Handlogten,UTA,0.8999999999999999
Ben Hansbrough,IND,0.2
Ben Kelso,DET,0.0
Ben McDonald,CLE,0.2
Ben McDonald,GSW,2.3
Ben McLemore,HOU,3.0999999999999996
Ben McLemore,LAL,0.5
Ben McLemore,MEM,0.5
